Programme ID,Cycle,Title,Abstract,Status,PI,Allocation Status,Allocated Time (h)
113.26GU,P113,Direct imaging of protoplanet candidates driving kinematic signatures in disks,"ALMA is now performing the most sensitive search for protoplanet candidates as traced by planet-disk interaction signatures in the gas velocity field of their natal protoplanetary disks. In six sources, the disk gas substructure and its kinematics provide strong evidence of embedded protoplanet candidates. We propose to use the new high contrast imaging capabilities of the VLT/ERIS instrument to directly image the inferred giant protoplanets in their L-band thermal emission. The long wavelength will dramatically reduce the impact of circumstellar and circumplanetary extinction along the line of sight to the planets, significantly improving current searches in the short NIR. These deep searches will (1) confirm the planetary nature of the kinematic features observed at sub-mm wavelengths, and (2) place initial constraints on the luminosity of the protoplanets. These goals are the critical first steps in developing comprehensive follow-up observations of these protoplanets.",Valid,Prof. Stefano Facchini,Yes,16.7h
113.26FK,P113,Quantifying how much external photoevaporation reduces disk lifetimes,"Planets form in disks around low-mass stars. A key constraint for planet formation models is the disk lifetime. Most measurements of disk lifetimes target nearby quiescent clusters but most stars and thus most planets (including the Solar System) form in massive star-forming regions where external photoevaporation will destroy their planet-forming disks. In order to truly constrain the disk lifetime, a better test is to measure the surviving disk fraction around low-mass stars in a massive region. We propose to make this critical measurement with wide-field near-IR images of 5 massive clusters within 2 kpc using HAWK-I. We request broadband J-, H-, and K-band images and a narrowband Br-gramma image. When combined with data available in the literature and/or archive, we will identify cluster members and measure the surviving disk fraction. Results will provide an essential constraint on how much external photoevaporation reduces the planet-formation timescale in typical environments.",Valid,Dr. Megan Reiter,Yes,26.0h
112.25LK,P112,A statistical sample of typical star/planet forming conditions,"Most stars and planets form in massive and relatively dense clusters but most studies have focused on low-mass regions. In massive regions, external ionization from nearby high-mass stars truncates and destroys planet-forming disks and formed planetary systems. Models are beginning to include feedback from the environment but observations are lacking. Therefore, we propose to survey 4 massive clusters with MUSE to provide a statistical sample down to the low-mass population of these more typical star forming environments. With the spatial and spectral sampling of integral-field-unit (IFU) spectroscopy, we will determine: spectral types, accretion rates, ages, stellar kinematics, nebular excitation, and extinction. We target a range of densities and FUV fluxes over which external photoevaporation significantly impacts disks. Data and outputs from this program will provide significant legacy value to the community, including identifying prime targets for the ELT.",Valid,Dr. Megan Reiter,N/A,-
111.254F,P111,Characterizing the host stars of proto-planetary disks in extreme radiation environments,"Our knowledge of the formation history of planetary systems is obtained by comparing the demographics of proto-planetary disks in nearby low-mass star forming regions with the exoplanetary system population.  However, it is well known that most stars form in environments exposed to much stronger far-UV (FUV) radiation and therefore, it is questionable that the well studied population of planet forming disks is representative of those in which most exoplanets were assembled. We propose X-shooter observations to study 13 proto-planetary disks in varying degree of FUV field strengths in the HII region NGC 6357.  The X-shooter spectra will provide the stellar properties, extinction, accretion rates and inner disk sizes.  These observations will be complemented by an approved JWST-MIRI program providing 5-28 micron spectroscopy. Both datasets will provide a detailed understanding of the evolution of proto-planetary disks in extreme radiation environments.",Valid,Dr. Arjan Bik,N/A,-
111.252G,P111,How fast is fast? quantifying disk destuction by external photoevaporation,"Planets form in circumstellar disks around low-mass stars. The disk lifetime is therefore a key constraint for models of planet formation. Most stars and therefore most planets form in massive star-forming regions where external photoevaporation will destroy their planet-forming disks. Existing measurements of disk lifetimes target nearby quiescent clusters or more massive stars in more distant regions. A better test is to measure the surviving disk fraction around low-mass stars in a massive region. We propose to make this critical measurement with wide-field near-IR images of the massive cluster NGC 6618 with HAWK-I. We request broadband J-, H-, and K-band images and a narrowband Br-gramma image. When combined with data available in the literature and/or archive, we will identify cluster members and measure the surviving disk fraction. Results will provide an essential constraint on how much external photoevaporation reduces the planet-formation timescale in typical environments.",Valid,Dr. Megan Reiter,N/A,-
111.251U,P111,Picturing planet formation at home: a MUSE survey of the birthplace of most stars and planets,"Most stars and planets form in massive and relatively dense clusters but most studies have focused on low-mass regions. In massive regions, external ionization from nearby high-mass stars truncates and destroys planet-forming disks and formed planetary systems. Models are beginning to include feedback from the environment but observations are lacking. Therefore, we propose to survey 4 high-mass clusters with MUSE to provide a statistical sample down to the low-mass population of these more typical star forming environments. With the spatial and spectral sampling of integral-field-unit (IFU) spectroscopy, we will determine: spectral types, accretion and outflow rates, ages, stellar kinematics, nebular excitation, and extinction. We target a range of densities and FUV fluxes over which external photoevaporation significantly impacts disks. Data and outputs from this program will provide significant legacy value to the community, including identifying prime targets for the ELT.",Valid,Dr. Megan Reiter,N/A,-
111.251Z,P111,The orbit and inner disk structure of young stellar encounters with VLTI/GRAVITY,"The formation of young T Tauri Stars (TTS) involve complex interplay between their environment, and in particular with stellar multiplicity, which in turn impacts the process of planet formation. Still, dynamical encounter in young multiple systems are difficult to constrain quantitatively, in particular due to our lack of knowledge of the orbit of these objects and the complete geometry of the inner and outer disk. We propose to the unique capability of VLTI/GRAVITY to measure the astrometry of two well-known multiple systems, HT Lup and AS205,  and constrain the morphology of the disk. These observations will be compared to the astrometry obtained with adaptive optics and ALMA to constrain the orbit of all components, and with the substructures and disk dynamics observed with ALMA, in particular disk misalignment. Together, the accurate orbit and the inner disk uniquely probed by GRAVITY will be crucial to provide a global coherent picture of the encounter and its dynamics.",Valid,Dr. Guillaume Bourdarot,N/A,-
110.23XM,P110,Bringing planet formation home: a MUSE survey of the typical birthplace of stars and planets,"The majority (>50%) of stars form in clusters/associations where they will be affected by feedback from neighboring stars. This is particularly important for planet formation as feedback from high-mass stars accelerates the destruction of planet-forming disks, contributes elements that affect geochemistry, and alters the architecture of planetary systems. While models of planet formation now include feedback from the larger star-forming environment, there is a lack of observations to compare these models to. We propose to solve this problem by surveying 6 high-mass star-forming clusters with MUSE to provide a statistical sample of low-mass stars forming in more typical environments. Our primary goal is to identify and characterise low-mass (< 1 Msun) cluster members as their disks will be most vulnerable to external feedback. The continuous spatial sampling provided by integral-field-unit (IFU) spectroscopy is essential to properly subtract bright and variable nebular emission in these regions. IFU spectroscopy is more efficient and more complete than other survey methods, enabling us to accomplish a broad range of science goals with the MUSE data alone. With the broad spectral coverage of MUSE we will determine: spectral types, accretion and outflow rates, ages and age gradients, stellar kinematics, and nebular excitation. We target regions with a range of densities and FUV fluxes to sample the conditions where external photoevaporation is expected to lead to significant destruction of planet-forming disks. As such, the outputs of this programme and the dataset it will produce will provide significant legacy value to the community. Finally, low-mass stars in high-mass regions will be prime targets for the ELT. It is essential to lay the ground-work now to identify the best targets for resolved observations to measure the impact of high-mass stars on exoplanet demographics.",Valid,Dr. Megan Reiter,N/A,-
110.2406,P110,Capturing dusty winds in the Orion proplyds,"The tremendous advancement in the characterization of exoplanetary systems is revealing a wide diversity in their bulk properties. Surveys of protoplanetary disks are leading to first attempts in comparing properties of the planet formation environments to the observed exoplanets. However, the majority of stars and detected exoplanets has formed in highly irradiated environments, within massive stellar clusters. Similar conditions can be found in the centre of the Orion Nebula Cluster. We propose to image 8 proplyds at high angular resolution (~40 mas, 16 au) at the center of the ONC with SPHERE. These observations will trace whether micron-size dust particles are entrained in the photoevaporative winds, removing dust mass from the planet forming regions. The synergy of archival MUSE NFM and ALMA data will reveal how the dust entrainment correlates with the evaporative mass loss rates and with the disk properties, allowing for long-awaited constraints on photoevaporative models.",Valid,Prof. Stefano Facchini,N/A,-
110.23TW,P110,MUSE NFM observations of proplyds in the Orion Nebula Cluster: the key to understand disk winds,"Several processes affect the evolution of protoplanetary disks and, in turn, their ability to form planets. In particular, external photoevaporation of disks driven by the UV radiation from OB stars at the center of stellar clusters is predicted to severely shorten disk lifetimes. Such environments are considered the birthplace for many planetary systems, including our own Solar System. Therefore, a detailed understanding of the impacts of external photoevaporation is key to constraining planet formation scenarios. Here we want to follow up on the first spatially and spectrally resolved images of protoplanetary disks in the harsh environment of the Orion Nebula Cluster obtained with the unprecedented MUSE NFM IFU data. Resolving and empirically constraining external photoevaporation is mandatory to be able to bridge the gap to the study of the more distant and massive regions, where disks are unresolved but environmental conditions are more similar to the birth environment of planets.",Valid,Dr. Carlo Felice Manara,N/A,-
